Date,Lend APY
12-Oct-24,15.04%
13-Oct-24,10.38%
14-Oct-24,16.61%
15-Oct-24,13.72%
16-Oct-24,18.30%
17-Oct-24,20.20%
18-Oct-24,18.85%
19-Oct-24,20.63%
20-Oct-24,23.84%
21-Oct-24,23.52%
22-Oct-24,26.02%
23-Oct-24,24.81%
24-Oct-24,25.52%
25-Oct-24,24.33%
26-Oct-24,22.37%
27-Oct-24,13.63%
28-Oct-24,15.38%
29-Oct-24,17.60%
30-Oct-24,15.38%
31-Oct-24,11.32%
1-Nov-24,7.92%
2-Nov-24,7.05%
3-Nov-24,6.63%
4-Nov-24,6.26%
5-Nov-24,5.99%
6-Nov-24,6.88%
7-Nov-24,5.84%
8-Nov-24,5.75%
9-Nov-24,5.64%
10-Nov-24,8.37%
11-Nov-24,11.45%
12-Nov-24,8.60%
13-Nov-24,8.00%
14-Nov-24,12.35%
15-Nov-24,9.24%
16-Nov-24,9.24%
17-Nov-24,9.24%
18-Nov-24,11.81%
19-Nov-24,14.38%
20-Nov-24,24.44%
21-Nov-24,18.99%
22-Nov-24,30.56%
23-Nov-24,18.62%
24-Nov-24,19.01%
25-Nov-24,16.62%
26-Nov-24,19.48%
27-Nov-24,21.32%
28-Nov-24,22.86%
29-Nov-24,15.57%
30-Nov-24,21.96%
1-Dec-24,16.14%
2-Dec-24,15.71%
3-Dec-24,10.98%
4-Dec-24,7.61%
5-Dec-24,61.74%
6-Dec-24,16.66%
7-Dec-24,17.59%
8-Dec-24,18.25%
9-Dec-24,17.38%
10-Dec-24,18.47%
11-Dec-24,76.99%
12-Dec-24,50.88%
13-Dec-24,75.91%
14-Dec-24,111.55%
15-Dec-24,40.80%
16-Dec-24,189.34%
17-Dec-24,52.97%
18-Dec-24,15.20%
19-Dec-24,128.46%
20-Dec-24,88.41%
21-Dec-24,15.37%
22-Dec-24,57.05%
23-Dec-24,104.68%
24-Dec-24,90.59%
25-Dec-24,28.27%
26-Dec-24,23.34%
27-Dec-24,12.38%
28-Dec-24,12.65%
29-Dec-24,34.96%
30-Dec-24,67.68%
31-Dec-24,13.65%
1-Jan-25,13.79%
2-Jan-25,110.67%
3-Jan-25,61.40%
4-Jan-25,78.25%
5-Jan-25,76.58%
6-Jan-25,142.26%
7-Jan-25,12.35%
8-Jan-25,76.08%
9-Jan-25,138.00%
10-Jan-25,12.75%
11-Jan-25,138.55%
12-Jan-25,146.96%
13-Jan-25,100.34%
14-Jan-25,60.16%
15-Jan-25,9.77%
16-Jan-25,9.14%
17-Jan-25,8.82%
18-Jan-25,9.78%
19-Jan-25,9.72%
20-Jan-25,10.75%
21-Jan-25,39.48%
22-Jan-25,10.16%
23-Jan-25,10.37%
24-Jan-25,22.60%
25-Jan-25,119.02%
26-Jan-25,121.06%
27-Jan-25,20.14%
28-Jan-25,38.95%
29-Jan-25,11.77%
30-Jan-25,12.47%
31-Jan-25,16.07%
1-Feb-25,14.80%
2-Feb-25,13.92%
3-Feb-25,14.33%
4-Feb-25,4.80%
5-Feb-25,3.45%
6-Feb-25,3.06%
7-Feb-25,2.54%
8-Feb-25,2.10%
9-Feb-25,1.82%
10-Feb-25,1.96%
11-Feb-25,2.16%
12-Feb-25,2.29%
13-Feb-25,2.42%
14-Feb-25,2.46%
15-Feb-25,3.14%
16-Feb-25,3.45%
17-Feb-25,3.41%
18-Feb-25,3.47%
19-Feb-25,4.53%
20-Feb-25,3.23%
21-Feb-25,2.99%
22-Feb-25,3.17%
23-Feb-25,3.05%
24-Feb-25,3.29%
25-Feb-25,3.48%
26-Feb-25,4.83%
27-Feb-25,5.82%
28-Feb-25,6.61%
1-Mar-25,7.33%
2-Mar-25,5.81%
3-Mar-25,6.32%
4-Mar-25,7.65%
5-Mar-25,6.19%
6-Mar-25,4.01%
7-Mar-25,3.72%
8-Mar-25,4.10%
9-Mar-25,4.33%
10-Mar-25,3.95%
11-Mar-25,2.54%
12-Mar-25,2.32%
13-Mar-25,2.32%
14-Mar-25,2.37%
15-Mar-25,2.36%
16-Mar-25,2.33%
17-Mar-25,2.28%
18-Mar-25,1.79%
